MORANG BD 200G,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
UVA PRETA SEM SEMENT,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
UVA CLARA SEM SEMENT,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
UVA COLONIAL ROSA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
UVA VERMELHA SEM SEM,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
LARANJA NAVELINA GRANEL,,,,,kg,,"COMPANHIA ZAFFARI COMERCIO E INDUSTRIA
",,,,,,,,
LARANJA PERA CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
LARANJA PERA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
LARANJA UMBIGO CRFO,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
LARANJA UMBIGO,,,,,kg,,Supermercados SBS LTDA.,,,,,,,,
LIMAO TAHTI,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
LIMAO TAHITI CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
LIMAO SICILIANO CRFO,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MELANCIA POLPA AMARE,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MELANCIA,,,,,kg,,Supermercado Onzi Ltda.,,,,,,,,
MELAO AMARELO CRFO K,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MELAO AMARELO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MELAO CANTALUPE CRFO,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MAMAO,,,,,kg,,SUPER KOSCHECK,,,,,,,,
MAMAO FORMOSA,,,,,kg,,Supermercado Onzi Ltda.,,,,,,,,
MAMAO FORMOSA,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
MAMAO FORMOSA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
MAMAO FORMOSA CRFO K,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MAMAO FORMOSA KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
MAMAO PAPAIA INTEIRO,,,,,kg,,"COMPANHIA ZAFFARI COMERCIO E INDUSTRIA
",,,,,,,,
MAMAO PAPAYA,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
MAMAO PAPAIA,,,,,un,,SUPER KOSCHECK,,,,,,,,
MAMAO PAPAIA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
MAMAO PAPAYA CRFO KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
BANANA PRATA,,,,,kg,,SUPERMERCADO BELTRAME LTDA,,,,,,,,
BANANA BRANCA,,,,,kg,,Supermercado Onzi Ltda.,,,,,,,,
BANANA BRANCA KG,,,,,kg,,Supermercados SBS LTDA.,,,,,,,,
BANANA CATURRA,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
